Myra,,,,Coords (top),,Coords (bottom),,,,
Chart,Unit,Size,Letter,X,Y,X,Y,Height (px),Comments,Chart type
4 :: Varilux,N size,8,w,5867,3545,5855,3580,35,,
4 :: Varilux,N size,8,v,6050,3710,6039,3745,35,,
4 :: Varilux,N size,6,N,4234,3997,4259,4033,36,,
4 :: Varilux,N size,6,T,4937,4061,4937,4097,36,,
4 :: Varilux,N size,6,w,6074,4000,6067,4026,26,,
4 :: Varilux,N size,6,x,6301,4065,6302,4091,26,,
4 :: Varilux,N size,6,v,5697,4135,5688,4162,27,,
4 :: Varilux,N size,5,W,4247,4317,4238,4348,31,,
4 :: Varilux,N size,5,Y,4585,4366,4596,4396,30,,
4 :: Varilux,N size,5,w,5015,4323,5007,4345,22,,
4 :: Varilux,N size,5,x,5929,4319,5927,4341,22,,
4 :: Varilux,N size,5,w,5192,4373,5196,4394,21,,
3 :: Opticare,logMAR @ 40cm,1.3,,,,,,,No suitable letters,
3 :: Opticare,logMAR @ 40cm,1,A,5938,1234,5966,1416,182,,
3 :: Opticare,logMAR @ 40cm,1,I,4653,1514,4716,1693,179,,
3 :: Opticare,logMAR @ 40cm,1,w,3859,1573,3875,1698,125,,
3 :: Opticare,logMAR @ 40cm,0.9,x,4613,2342,4606,2419,77,,
3 :: Opticare,logMAR @ 40cm,0.9,x,5573,2342,5536,2419,77,,
3 :: Opticare,logMAR @ 40cm,0.7,F,3841,2744,3844,2835,91,,
3 :: Opticare,logMAR @ 40cm,0.7,A,6374,2739,6387,2831,92,,
3 :: Opticare,logMAR @ 40cm,0.7,v,4144,2772,4127,2836,64,,
3 :: Opticare,logMAR @ 40cm,0.7,v,5371,2914,5356,2977,63,,
3 :: Opticare,logMAR @ 40cm,0.6,A,4335,3283,4350,3353,70,,
3 :: Opticare,logMAR @ 40cm,0.6,A,3843,3401,3855,3470,69,,
3 :: Opticare,logMAR @ 40cm,0.6,w,4802,3307,4812,3353,46,,
3 :: Opticare,logMAR @ 40cm,0.6,v,6199,3420,6186,3468,48,,
3 :: Opticare,logMAR @ 40cm,0.6,v,6538,3420,6524,3468,48,,
3 :: Opticare,logMAR @ 40cm,0.4,W,3840,3748,3850,3796,48,,
3 :: Opticare,logMAR @ 40cm,0.4,A,6285,3745,6292,3792,47,,
3 :: Opticare,logMAR @ 40cm,0.4,v,4502,3762,4492,3796,34,,
3 :: Opticare,logMAR @ 40cm,0.4,w,3810,3845,3824,3878,33,,
3 :: Opticare,logMAR @ 40cm,0.4,v,4947,3843,4939,3877,34,,
3 :: Opticare,logMAR @ 40cm,0.3,w,4542,4148,4520,4175,27,,
3 :: Opticare,logMAR @ 40cm,0.2,I,3808,4397,3810,4428,31,,
3 :: Opticare,logMAR @ 40cm,0.2,v,3877,4406,3883,4428,22,,
3 :: Opticare,logMAR @ 40cm,0.2,w,4069,4406,4063,4428,22,,
3 :: Opticare,logMAR @ 40cm,0.2,v,4819,4405,4812,4426,21,,
2 :: Silhouette,N size,64,,,,,,,No suitable letters,
2 :: Silhouette,N size,32,I,4357,810,4360,986,176,Incorrect logMAR size,
2 :: Silhouette,N size,32,E,5126,807,5112,984,177,,
2 :: Silhouette,N size,32,M,4507,1059,4503,1236,177,,
2 :: Silhouette,N size,32,w,5583,864,5603,987,123,,
2 :: Silhouette,N size,20,,,,,,,No suitable letters,
2 :: Silhouette,N size,16,w,5140,1707,5111,1768,61,,
2 :: Silhouette,N size,16,w,6062,1864,6047,1926,62,,
2 :: Silhouette,N size,12,v,4707,2064,4692,2111,47,,
2 :: Silhouette,N size,12,w,5270,2304,5287,2350,46,,
2 :: Silhouette,N size,12,w,4778,2545,4766,2591,46,,
2 :: Silhouette,N size,8,I,4319,2711,4318,2756,45,,
2 :: Silhouette,N size,8,T,4338,2791,4331,2836,45,,
2 :: Silhouette,N size,8,Y,6383,3105,6393,3149,44,,
2 :: Silhouette,N size,8,w,6243,2879,6236,2910,31,,
2 :: Silhouette,N size,8,v,4533,3043,4545,3076,33,,
2 :: Silhouette,N size,8,v,4857,3124,4866,3154,30,,
2 :: Silhouette,N size,6,L,4528,3442,4528,3476,34,,
2 :: Silhouette,N size,6,I,5346,3501,5345,3534,33,,
2 :: Silhouette,N size,6,A,4642,3742,4633,3776,34,,
2 :: Silhouette,N size,6,x,4837,3512,4847,3534,22,,
2 :: Silhouette,N size,6,w,4568,3633,4560,3656,23,,
2 :: Silhouette,N size,6,v,5157,3872,5149,3895,23,,
2 :: Silhouette,N size,5,L,4326,4074,4326,4102,28,,
2 :: Silhouette,N size,5,W,4338,4224,4345,4252,28,,
2 :: Silhouette,N size,5,T,4331,4274,4328,4302,28,,
2 :: Silhouette,N size,5,v,4362,4133,4368,4151,18,,
2 :: Silhouette,N size,5,z,6124,4227,6123,4246,19,,
2 :: Silhouette,N size,5,w,5831,4329,5836,4348,19,,
1 :: Rodenstock,Decimal @ 40cm,0.1,V,675,323,747,542,219,,
1 :: Rodenstock,Decimal @ 40cm,0.2,V,675,1073,707,1184,111,,
1 :: Rodenstock,Decimal @ 40cm,0.25,W,725,1569,699,1659,90,,
1 :: Rodenstock,Decimal @ 40cm,0.25,x,974,1591,963,1657,66,,
1 :: Rodenstock,Decimal @ 40cm,0.25,w,1288,1730,1278,1796,66,,
1 :: Rodenstock,Decimal @ 40cm,0.25,w,2613,1585,2624,1650,65,,
1 :: Rodenstock,Decimal @ 40cm,0.32,W,748,2161,691,2232,71,,
1 :: Rodenstock,Decimal @ 40cm,0.32,v,1401,2174,1383,2226,52,,
1 :: Rodenstock,Decimal @ 40cm,0.32,w,2182,2171,2193,2223,52,,
1 :: Rodenstock,Decimal @ 40cm,0.32,v,796,2293,809,2344,51,,
1 :: Rodenstock,Decimal @ 40cm,0.4,F,685,2780,678,2836,56,,
1 :: Rodenstock,Decimal @ 40cm,0.4,W,1825,2866,1838,2921,55,,
1 :: Rodenstock,Decimal @ 40cm,0.4,v,1081,2884,1070,2925,41,,
1 :: Rodenstock,Decimal @ 40cm,0.4,w,2960,2877,2953,2918,41,,
1 :: Rodenstock,Decimal @ 40cm,0.4,w,1848,2974,1837,3014,40,,
1 :: Rodenstock,Decimal @ 40cm,0.5,T,689,3502,687,3547,45,,
1 :: Rodenstock,Decimal @ 40cm,0.5,v,1241,3425,1228,3461,36,,
1 :: Rodenstock,Decimal @ 40cm,0.5,v,1438,3509,1427,3542,33,,
1 :: Rodenstock,Decimal @ 40cm,0.5,v,1200,3593,1209,3626,33,,
1 :: Rodenstock,Decimal @ 40cm,0.63,I,1541,3911,1542,3946,35,,
1 :: Rodenstock,Decimal @ 40cm,0.63,Y,1553,3911,1564,3946,35,,
1 :: Rodenstock,Decimal @ 40cm,0.63,N,1659,3969,1656,4004,35,,
1 :: Rodenstock,Decimal @ 40cm,0.63,w,1111,3922,1118,3948,26,,
1 :: Rodenstock,Decimal @ 40cm,0.63,w,2971,3915,2993,3940,25,,
1 :: Rodenstock,Decimal @ 40cm,0.63,v,1360,3980,1368,4005,25,,
1 :: Rodenstock,Decimal @ 40cm,0.8,Y,1686,4335,1692,4364,29,,
1 :: Rodenstock,Decimal @ 40cm,0.8,T,825,4393,819,4422,29,,
1 :: Rodenstock,Decimal @ 40cm,0.8,v,971,4346,979,4366,20,,
1 :: Rodenstock,Decimal @ 40cm,0.8,w,899,4401,892,4421,20,,
1 :: Rodenstock,Decimal @ 40cm,0.8,w,687,4511,682,4530,19,,
18 :: personalEYES,N size,36,T,1142,1056,1187,1254,198,Hard to tell which is the top as there is a serif area on the letters,
18 :: personalEYES,N size,36,T,3061,1072,3108,1270,198,,
18 :: personalEYES,N size,36,E,3266,1073,3342,1272,199,,
18 :: personalEYES,N size,36,x,1587,1121,1586,1257,136,,
18 :: personalEYES,N size,24,I,1293,1591,1295,1728,137,,
18 :: personalEYES,N size,24,L,1597,1593,1599,1729,136,,
18 :: personalEYES,N size,24,Y,1882,1596,1971,1732,136,,
18 :: personalEYES,N size,24,v,2673,1645,2684,1739,94,,
18 :: personalEYES,N size,18,L,1141,2070,1142,2171,101,,
18 :: personalEYES,N size,18,A,1290,2069,1309,2172,103,,
18 :: personalEYES,N size,18,E,1584,2073,1571,2173,100,,
18 :: personalEYES,N size,18,v,298,2293,3019,2362,69,,
18 :: personalEYES,N size,14,A,2961,2778,2927,2857,79,,
18 :: personalEYES,N size,14,I,3074,2780,3075,2859,79,,
18 :: personalEYES,N size,14,T,3113,2780,3128,2858,78,,
18 :: personalEYES,N size,14,w,3223,2664,3281,2718,54,,
18 :: personalEYES,N size,14,w,1881,2958,1936,3012,54,,
18 :: personalEYES,N size,12,v,1870,3301,1892,3347,46,,
18 :: personalEYES,N size,12,v,2829,3308,2848,3355,47,,
18 :: personalEYES,N size,12,w,3282,3313,3304,3359,46,,
18 :: personalEYES,N size,10,N,1184,3887,1144,3944,57,,
18 :: personalEYES,N size,10,x,1941,3910,1941,3949,39,,
18 :: personalEYES,N size,10,z,2043,4011,2045,4050,39,,
18 :: personalEYES,N size,10,v,2643,4139,2659,4178,39,,
18 :: personalEYES,N size,8,T,1147,4416,1159,4462,46,,
18 :: personalEYES,N size,8,w,1375,4431,1367,4462,31,,
18 :: personalEYES,N size,8,v,2862,4440,2875,4472,32,,
18 :: personalEYES,N size,8,w,2802,4627,2814,4657,30,,
18 :: personalEYES,N size,6,T,1144,4918,1160,4954,36,,
18 :: personalEYES,N size,6,I,2140,4924,2138,4959,35,,
18 :: personalEYES,N size,6,z,1617,4932,1619,4956,24,,
18 :: personalEYES,N size,6,v,2777,4938,2784,4962,24,,
18 :: personalEYES,N size,6,v,2556,5082,2565,5107,25,,
18 :: personalEYES,N size,5,z,1455,5366,1455,5387,21,,
18 :: personalEYES,N size,5,x,3768,5382,3769,5403,21,,
18 :: personalEYES,N size,5,w,2313,5515,2330,5535,20,,
18 :: personalEYES,N size,4,z,1388,5792,1390,5808,16,,
18 :: personalEYES,N size,4,x,2859,5800,2867,5817,17,,
18 :: personalEYES,N size,4,v,2592,5882,2595,5897,15,,
10 :: Sussex Vision,N size,36,v,2749,946,2819,1084,138,,
10 :: Sussex Vision,N size,48,v,2458,2158,2414,2343,185,,
16 :: Takagi,Decimal @ 40cm,0.1,,,,,,,no letters available,
16 :: Takagi,Decimal @ 40cm,0.2,A,3319,1544,3360,1646,102,,
16 :: Takagi,Decimal @ 40cm,0.3,w,3578,1773,3560,1821,48,,
16 :: Takagi,Decimal @ 40cm,0.3,w,3851,1768,3842,1816,48,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
