Jingyi,,,,Coords (top),,Coords (bottom),,,
Chart,Unit,Size,Letter,X,Y,X,Y,Height (px),Comments
16 :: Takagi,Decimal @ 40cm,0.5,H,4062,1354,4035,1397,43,
16 :: Takagi,Decimal @ 40cm,0.5,w,3841,1437,3831,1466,29,
16 :: Takagi,Decimal @ 40cm,0.5,w,3316,1507,3302,1537,30,
16 :: Takagi,Decimal @ 40cm,0.5,w,3571,1366,3562,1395,29,
16 :: Takagi,Decimal @ 40cm,0.6,H,3504,1602,3485,1638,36,
16 :: Takagi,Decimal @ 40cm,1,w,3742,2033,3736,2049,16,
16 :: Takagi,Decimal @ 40cm,1,w,3715,2074,3710,2089,15,
16 :: Takagi,Decimal @ 40cm,1,w,3641,2074,3634,2089,15,
17 :: Shamir,M size,4,L,4111,1235,4149,1417,182,
17 :: Shamir,M size,4,I,3030,1237,3035,1419,182,
17 :: Shamir,M size,2,A,3514,1797,3477,1888,91,
17 :: Shamir,M size,2,W,3753,1796,3778,1887,91,
17 :: Shamir,M size,2,T,4098,1794,4097,1886,92,
17 :: Shamir,M size,2,w,3227,2099,3249,2171,72,
17 :: Shamir,M size,2,w,4582,1954,4559,2026,72,
17 :: Shamir,M size,1.25,A,3319,2504,3293,2560,56,
17 :: Shamir,M size,1.25,w,4273,2713,4316,2757,44,
17 :: Shamir,M size,1.25,v,3357,2616,3374,2661,45,
17 :: Shamir,M size,1.25,v,3864,2615,3846,2659,44,
17 :: Shamir,M size,1,A,3012,3166,2996,3213,47,
17 :: Shamir,M size,1,I,3354,3166,3352,3214,48,
17 :: Shamir,M size,1,T,3431,3167,3417,3214,47,
17 :: Shamir,M size,1,w,2997,3251,3009,3287,36,
17 :: Shamir,M size,0.8,W,2995,3585,3006,3622,37,
17 :: Shamir,M size,0.8,A,4105,3583,4091,3618,35,
17 :: Shamir,M size,0.8,I,4366,3583,4368,3620,37,
17 :: Shamir,M size,0.8,v,4005,3658,4014,3687,29,
17 :: Shamir,M size,0.8,v,3079,3661,3087,3689,28,
17 :: Shamir,M size,0.63,E,3164,4037,3162,4067,30,
17 :: Shamir,M size,0.63,T,3380,4036,3385,4066,30,
17 :: Shamir,M size,0.63,A,3645,4036,3632,4066,30,
17 :: Shamir,M size,0.63,v,4186,4141,4198,4165,24,
17 :: Shamir,M size,0.63,z,3906,4141,3908,4164,23,
17 :: Shamir,M size,0.63,v,3821,4091,3811,4115,24,
17 :: Shamir,M size,0.5,v,3595,4485,3588,4502,17,
17 :: Shamir,M size,0.5,v,4054,4484,4047,4501,17,
17 :: Shamir,M size,0.5,x,4285,4516,4284,4534,18,
18 :: personalEYES,N size,36,T,1285,1057,1233,1254,197,
18 :: personalEYES,N size,36,T,3207,1073,3177,1271,198,
18 :: personalEYES,N size,36,E,3348,1074,3409,1273,199,
18 :: personalEYES,N size,36,x,1604,1121,1611,1257,136,
18 :: personalEYES,N size,24,I,1337,1592,1341,1728,136,
18 :: personalEYES,N size,24,L,1623,1594,1654,1730,136,
18 :: personalEYES,N size,24,Y,1930,1596,1962,1732,136,
18 :: personalEYES,N size,24,v,2651,1645,2686,1739,94,
18 :: personalEYES,N size,18,L,1175,2070,1193,2172,102,
18 :: personalEYES,N size,18,A,1294,2069,1315,2173,104,
18 :: personalEYES,N size,18,E,1621,2073,1641,2174,101,
18 :: personalEYES,N size,18,v,3040,2293,3021,2363,70,
18 :: personalEYES,N size,14,I,3094,2780,3098,2858,78,
18 :: personalEYES,N size,14,T,3129,2780,3155,2859,79,
18 :: personalEYES,N size,14,L,3283,2781,3315,2861,80,
18 :: personalEYES,N size,14,w,3268,2665,3251,2718,53,
18 :: personalEYES,N size,12,v,1886,3301,1895,3348,47,
18 :: personalEYES,N size,12,v,2867,3309,2851,3356,47,
18 :: personalEYES,N size,12,w,3320,3314,3307,3359,45,
18 :: personalEYES,N size,10,N,1192,3887,1195,3945,58,
18 :: personalEYES,N size,10,x,1953,3911,1945,3950,39,
18 :: personalEYES,N size,10,z,1660,3908,1655,3948,40,
18 :: personalEYES,N size,10,z,2056,4011,2066,4051,40,
18 :: personalEYES,N size,8,T,1176,4416,1171,4462,46,
18 :: personalEYES,N size,8,w,1341,4431,1653,4462,31,
18 :: personalEYES,N size,8,z,3115,4442,3126,4475,33,
18 :: personalEYES,N size,8,v,2363,4625,2372,4656,31,
18 :: personalEYES,N size,6,T,1161,4919,1158,4954,35,
18 :: personalEYES,N size,6,I,2142,4924,2142,4960,36,
18 :: personalEYES,N size,6,v,2795,4939,2788,4963,24,
18 :: personalEYES,N size,6,z,1632,4932,1630,4957,25,
18 :: personalEYES,N size,6,v,2559,5082,2567,5108,26,
18 :: personalEYES,N size,5,z,1461,5366,1462,5388,22,
18 :: personalEYES,N size,5,x,2194,5371,2205,5392,21,
18 :: personalEYES,N size,5,v,2559,5373,2564,5393,20,
18 :: personalEYES,N size,4,z,1391,5792,1399,5809,17,
18 :: personalEYES,N size,4,w,2761,5800,2763,5815,15,
18 :: personalEYES,N size,4,x,2870,5800,2870,5818,18,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
